gram_size,복합명사,빈도
2,보도_자료,68
2,공개_모집,68
2,복지_재단,68
2,무용원_교수,68
2,기술_융합,68
2,조명_디자이너,68
2,궁중_무,68
2,강선영_선생,68
2,문화재_제도,68
2,협회_이사장,68
2,극_전개,68
2,사업_안내,68
2,세계_유명,68
2,학교_교육,68
2,음악_미술,68
2,춤_어휘,68
2,전체_구성,68
2,무용_밤,68
4,상주_단체_육성_지원,67
3,앰비규어스_댄스_컴퍼니,67
2,크라우드_펀딩,67
2,다목적_홀,67
2,학위_논문,67
3,춤_국제_교류,67
2,인_탱크,67
2,저작_보호,67
3,현대_무용_축제,67
2,동문_단체,67
2,한국_현대춤작가 12 인전,67
3,한국_전통_예술,67
3,예술_감독_작품,67
2,양성_과정,67
